,accommodates,price,minimum_nights,maximum_nights,minimum_maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_rating,calculated_host_listings_count,calculated_host_listings_count_private_rooms,days_since_last_review,days_since_first_review,days_since_host_since,room_type,host_response_rate,bathrooms,host_is_superhost,host_identity_verified,instant_bookable,Entire rental unit,Price/square ,EMPORIKO TRIGONO-PLAKA,jumio,work_email,Shampoo,Heating,Hot water,TV,Coffee maker,Dedicated workspace,Bed linens,Washer,Elevator,Fire extinguisher,First aid kit,Free street parking,Extra pillows and blankets,Patio or balcony,Smoke alarm,Microwave,Shower gel,Luggage dropoff allowed,Private entrance,Host greets you,Lockbox,Room-darkening shades,Hot water kettle,Crib,Paid parking off premises,Body soap,Dryer,Baking sheet,Ethernet connection,Dishwasher,Outdoor furniture,High chair,Pack ’n play/Travel crib,Cable TV,Single level home,Bathtub
20,4,61.0,1,730,730,11,173,2,4.67,8,0,102,2898,3799,0,5,1 ,1.0,1.0,1,1,1800,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,4,35.0,2,30,30,0,116,5,4.13,2,0,817,3420,3746,0,5,1 ,0.0,1.0,0,1,2380,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,2,36.0,2,30,30,6,51,4,4.21,2,0,7,3438,3746,0,5,1 ,0.0,1.0,0,1,2380,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,4,129.0,5,365,365,30,1,0,5.0,1,0,3078,3078,3816,0,0,1 ,0.0,0.0,0,1,1300,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,8,21.0,3,365,365,15,39,7,4.68,1,0,786,1557,3631,0,5,1 ,0.0,0.0,0,1,1250,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,4,61.0,2,1125,1125,10,24,8,4.73,40,0,38,2638,3630,0,5,1 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0
26,4,62.0,2,1125,1125,13,11,6,5.0,40,0,8,1729,3630,0,5,1 ,1.0,1.0,0,1,1100,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0
27,8,45.0,2,730,730,0,57,0,4.61,9,0,819,2397,3802,0,5,1 ,0.0,1.0,1,1,1100,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2,193.0,2,1125,1125,12,472,36,4.98,3,0,8,2716,3580,0,5,1 ,1.0,1.0,1,1,2380,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
29,2,58.0,4,720,720,0,2,0,4.5,15,0,2029,2335,3577,0,5,1 ,1.0,1.0,1,1,1570,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,58.0,2,1125,1125,30,21,0,4.71,1,0,1628,2995,3528,0,1,1.5 ,0.0,0.0,0,1,1200,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8,49.0,2,1125,1125,0,195,0,4.66,5,0,1489,3457,3528,0,5,1 ,1.0,1.0,1,1,2380,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
32,3,65.0,2,365,1125,13,446,18,4.92,1,0,75,3404,3774,0,5,1 ,1.0,1.0,1,1,2300,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,3,50.0,1,6,6,0,169,0,4.87,1,0,1179,3385,3497,0,5,1 ,0.0,0.0,0,1,1250,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,29.0,7,1125,1125,0,332,8,4.3,2,0,574,3138,3731,0,5,1 ,0.0,1.0,0,1,1400,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
